,path,split_path,size
55,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Malpighiales/Euphorbiaceae/Croton,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Malpighiales', 'Euphorbiaceae', 'Croton']",1
56,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Malpighiales/Euphorbiaceae/Croton/https:||live.staticflickr.com|65535|51025142233_4c6dbdf6e1.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Malpighiales', 'Euphorbiaceae', 'Croton', 'https:||live.staticflickr.com|65535|51025142233_4c6dbdf6e1.jpg']",1
57,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Apatura,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Apatura']",1
58,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Apatura/https:||live.staticflickr.com|65535|51025874506_8f1764314e.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Apatura', 'https:||live.staticflickr.com|65535|51025874506_8f1764314e.jpg']",1
59,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Limenitis,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Limenitis']",1
60,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Limenitis/https:||live.staticflickr.com|65535|51025972822_a7fa3a581c.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Limenitis', 'https:||live.staticflickr.com|65535|51025972822_a7fa3a581c.jpg']",1
61,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Limenitis/https:||live.staticflickr.com|65535|51025873786_29afc61c1c.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Limenitis', 'https:||live.staticflickr.com|65535|51025873786_29afc61c1c.jpg']",1
62,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Limenitis/https:||live.staticflickr.com|65535|51025141188_4fd0c2aa99.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Limenitis', 'https:||live.staticflickr.com|65535|51025141188_4fd0c2aa99.jpg']",1
63,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Limenitis/https:||live.staticflickr.com|65535|51025971962_0f7168fba0.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Limenitis', 'https:||live.staticflickr.com|65535|51025971962_0f7168fba0.jpg']",1
64,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Melitaea,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Melitaea']",1
65,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Melitaea/https:||live.staticflickr.com|65535|51025871806_f597c00989.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Melitaea', 'https:||live.staticflickr.com|65535|51025871806_f597c00989.jpg']",1
66,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025871316_4ffbb47f1a.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025871316_4ffbb47f1a.jpg']",1
67,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025969572_f28b15eb0e.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025969572_f28b15eb0e.jpg']",1
68,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025969252_3e24deac25.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025969252_3e24deac25.jpg']",1
69,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025870501_6518c7aa0b.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025870501_6518c7aa0b.jpg']",1
70,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025968842_1aaf68f443.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025968842_1aaf68f443.jpg']",1
71,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025870046_bba7c71d70.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025870046_bba7c71d70.jpg']",1
72,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025137563_effffdda01.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025137563_effffdda01.jpg']",1
73,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025137393_9612615156.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025137393_9612615156.jpg']",1
74,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025869541_34a5f6cf39.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025869541_34a5f6cf39.jpg']",1
75,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025136798_aef2d6cbe6.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025136798_aef2d6cbe6.jpg']",1
76,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025967392_54c1f4240c.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025967392_54c1f4240c.jpg']",1
77,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025868606_28ac80d739.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025868606_28ac80d739.jpg']",1
78,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51025868366_a07e642c83.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51025868366_a07e642c83.jpg']",1
79,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Pieridae/Colias/https:||live.staticflickr.com|65535|51025966712_6628f3778a.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Pieridae', 'Colias', 'https:||live.staticflickr.com|65535|51025966712_6628f3778a.jpg']",1
80,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Pieridae/Colias/https:||live.staticflickr.com|65535|51025867711_88bf48cc6b.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Pieridae', 'Colias', 'https:||live.staticflickr.com|65535|51025867711_88bf48cc6b.jpg']",1
